,is_won,player_health,is_chest_taken,algorithm,game_time
0,True,19,True,minimax,34.05110430717468
1,False,-3,True,minimax,26.804277896881104
2,True,72,False,minimax,32.23927187919617
3,True,5,True,minimax,31.911279916763306
4,False,-7,False,minimax,21.013696908950806
5,False,-6,False,minimax,27.06039834022522
6,False,-4,True,minimax,45.69712209701538
7,False,0,True,minimax,37.26368474960327
8,True,15,True,minimax,29.731216430664062
9,True,31,True,minimax,53.31706976890564
10,False,-5,True,minimax,33.675049781799316
11,True,76,True,minimax,29.245837926864624
12,True,22,True,minimax,32.42215704917908
13,True,17,True,minimax,27.86184787750244
14,True,20,True,minimax,24.62662363052368
15,True,13,True,minimax,50.283053159713745
16,False,-9,True,minimax,25.03381657600403
17,True,3,True,minimax,33.26365566253662
18,False,-5,True,minimax,28.953580856323242
19,False,-3,True,minimax,37.596192359924316
20,False,-2,True,minimax,40.479021072387695
21,False,-2,True,minimax,31.314656019210815
22,False,-2,False,minimax,34.446712255477905
23,False,0,True,minimax,39.779645681381226
24,True,18,True,minimax,26.65604281425476
25,False,-6,True,minimax,40.08019828796387
26,False,-5,False,minimax,41.2522292137146
27,True,19,True,minimax,44.98848509788513
28,False,-3,True,minimax,46.79336500167847
29,True,43,True,minimax,40.697044134140015
30,False,-5,True,minimax,37.18274474143982
31,True,33,True,minimax,36.55281376838684
32,False,-5,False,minimax,31.15779161453247
33,True,11,True,minimax,33.39385676383972
34,True,23,True,minimax,29.209041833877563
35,True,82,False,minimax,23.696563005447388
36,True,38,True,minimax,39.64302897453308
37,False,-3,True,minimax,43.491384744644165
38,True,19,True,minimax,42.81871509552002
39,False,0,False,minimax,24.960320711135864
40,True,8,True,minimax,36.49112248420715
41,False,-7,True,minimax,34.67681312561035
42,True,23,True,minimax,48.47015643119812
43,True,43,True,minimax,33.45857548713684
44,True,64,True,minimax,32.36097598075867
45,True,56,True,minimax,34.93330383300781
46,False,-5,False,minimax,37.24937701225281
47,True,34,True,minimax,25.271794080734253
48,True,87,False,minimax,15.962482690811157
49,False,-7,True,minimax,42.14102029800415
50,True,8,True,minimax,33.48707103729248
51,True,51,True,minimax,22.39309334754944
52,False,-5,False,minimax,34.31404495239258
53,False,-2,True,minimax,35.65822911262512
54,True,21,True,minimax,46.13806486129761
55,False,-10,True,minimax,24.137919902801514
56,False,-1,True,minimax,25.94222927093506
57,False,-8,True,minimax,29.073994636535645
58,True,6,True,minimax,30.652112007141113
59,False,-8,True,minimax,25.807807683944702
60,True,58,True,minimax,28.138244152069092
61,True,19,True,minimax,47.61623811721802
62,False,-8,True,minimax,46.54076552391052
63,False,0,True,minimax,36.58473587036133
64,False,-9,True,minimax,41.5089008808136
65,True,2,True,minimax,55.82843828201294
66,True,18,True,minimax,27.546852827072144
67,False,0,True,minimax,47.30811953544617
68,True,7,True,minimax,34.95708084106445
69,False,-5,True,minimax,34.819695472717285
70,True,13,True,minimax,44.922508001327515
71,False,0,True,minimax,38.46254014968872
72,True,7,True,minimax,40.42784142494202
73,False,-5,True,minimax,39.17197585105896
74,True,14,True,minimax,39.63442301750183
75,False,-7,False,minimax,48.375596046447754
76,False,-8,True,minimax,29.088844299316406
77,False,-7,True,minimax,27.81025242805481
78,True,61,True,minimax,43.005717515945435
79,True,26,True,minimax,44.65778708457947
80,False,-9,False,minimax,38.22975778579712
81,False,-10,True,minimax,24.53392457962036
82,False,-4,True,minimax,36.57554817199707
83,False,0,True,minimax,49.84704852104187
84,True,28,True,minimax,43.06224799156189
85,True,44,True,minimax,37.49143075942993
86,True,27,True,minimax,42.01683568954468
87,False,-6,False,minimax,26.081063747406006
88,False,-4,True,minimax,70.71452498435974
89,True,8,True,minimax,35.88996648788452
90,True,15,True,minimax,44.57631850242615
91,False,-2,True,minimax,38.77025508880615
92,True,14,True,minimax,36.15859246253967
93,True,84,False,minimax,14.800413846969604
94,False,-2,True,minimax,48.52686524391174
95,False,-9,True,minimax,45.91065573692322
96,True,45,True,minimax,43.97525763511658
97,True,17,True,minimax,29.506800174713135
98,True,31,True,minimax,37.6769495010376
99,False,-7,False,minimax,35.32125473022461
100,True,9,True,minimax,50.31826901435852
0,True,51,True,expectimax,4.372015953063965
1,True,51,True,expectimax,4.100805282592773
2,True,52,False,expectimax,3.4184751510620117
3,False,-4,False,expectimax,3.4352331161499023
4,True,65,True,expectimax,4.474893093109131
5,False,-4,False,expectimax,4.1018805503845215
6,True,8,True,expectimax,7.227031230926514
7,True,48,True,expectimax,6.751604795455933
8,True,24,True,expectimax,5.922524929046631
9,True,4,True,expectimax,5.5961973667144775
10,False,0,False,expectimax,4.654971122741699
11,True,56,True,expectimax,4.072028398513794
12,False,-2,True,expectimax,7.120885372161865
13,True,86,True,expectimax,3.4424495697021484
14,True,44,True,expectimax,6.4680259227752686
15,True,31,True,expectimax,9.354681968688965
16,True,85,True,expectimax,4.400786399841309
17,False,-4,False,expectimax,4.0028204917907715
18,False,-1,True,expectimax,5.593873739242554
19,True,23,True,expectimax,6.608786106109619
20,True,19,True,expectimax,6.605016469955444
21,True,21,True,expectimax,9.486197233200073
22,False,-9,False,expectimax,4.0906500816345215
23,True,11,True,expectimax,19.75221347808838
24,True,55,True,expectimax,4.980987071990967
25,False,-4,False,expectimax,4.208579778671265
26,True,11,True,expectimax,9.439241170883179
27,True,12,True,expectimax,8.240673780441284
28,True,14,True,expectimax,6.317177057266235
29,True,75,True,expectimax,4.811237573623657
30,True,40,True,expectimax,6.025533676147461
31,True,55,True,expectimax,4.955625295639038
32,True,55,True,expectimax,4.8811705112457275
33,True,10,True,expectimax,9.753621578216553
34,False,-4,True,expectimax,4.0226850509643555
35,True,54,True,expectimax,6.8966288566589355
36,True,71,True,expectimax,9.104897022247314
37,False,0,True,expectimax,5.150740623474121
38,True,15,True,expectimax,5.228352785110474
39,True,92,False,expectimax,3.24184513092041
40,True,84,True,expectimax,6.0126190185546875
41,True,7,True,expectimax,8.41845440864563
42,False,-9,False,expectimax,4.006903171539307
43,True,34,True,expectimax,5.595885276794434
44,False,-1,True,expectimax,6.04474139213562
45,False,-9,False,expectimax,3.7481207847595215
46,True,22,True,expectimax,7.928711414337158
47,False,-4,True,expectimax,3.5229384899139404
48,True,60,True,expectimax,5.197119951248169
49,True,39,True,expectimax,5.955140590667725
50,False,-2,True,expectimax,7.305361747741699
51,True,5,True,expectimax,5.3925275802612305
52,False,-2,True,expectimax,6.658228397369385
53,True,40,True,expectimax,5.127986907958984
54,True,33,True,expectimax,6.533456563949585
55,True,51,True,expectimax,4.207466125488281
56,True,23,True,expectimax,7.208004951477051
57,True,34,True,expectimax,5.801218509674072
58,False,0,True,expectimax,5.003356695175171
59,True,64,True,expectimax,5.997288465499878
60,True,18,True,expectimax,7.203068733215332
61,True,32,True,expectimax,2.7446391582489014
62,True,4,True,expectimax,6.144964218139648
63,True,28,True,expectimax,6.7302165031433105
64,False,-4,False,expectimax,3.572571039199829
65,True,38,True,expectimax,7.6116321086883545
66,True,41,True,expectimax,3.8427178859710693
67,True,23,True,expectimax,7.034712314605713
68,True,34,True,expectimax,5.44282865524292
69,True,30,True,expectimax,4.7677342891693115
70,True,85,True,expectimax,5.102875232696533
71,False,0,True,expectimax,4.895104885101318
72,True,81,True,expectimax,3.6286067962646484
73,True,31,True,expectimax,4.106605768203735
74,True,8,True,expectimax,7.138539791107178
75,False,-2,False,expectimax,7.247553825378418
76,True,20,True,expectimax,5.389938116073608
77,True,74,True,expectimax,5.7468321323394775
78,True,96,True,expectimax,3.909921646118164
79,False,0,True,expectimax,4.955756187438965
80,True,39,True,expectimax,5.931595325469971
81,False,-1,True,expectimax,6.234430313110352
82,True,40,True,expectimax,5.909963130950928
83,True,72,True,expectimax,8.537771463394165
84,True,60,True,expectimax,5.187588453292847
85,True,39,True,expectimax,5.855942726135254
86,False,0,True,expectimax,5.100812196731567
87,True,50,True,expectimax,5.2746617794036865
88,False,-4,False,expectimax,4.208361387252808
89,True,45,True,expectimax,4.5514726638793945
90,True,61,True,expectimax,3.976926803588867
91,True,59,True,expectimax,6.475976228713989
92,True,10,True,expectimax,5.328923940658569
93,True,41,True,expectimax,4.101726055145264
94,False,-4,True,expectimax,3.9715678691864014
95,False,-4,False,expectimax,3.475186347961426
96,True,30,True,expectimax,5.2911601066589355
97,True,4,True,expectimax,5.76233172416687
98,True,76,True,expectimax,3.8123979568481445
99,True,51,True,expectimax,4.070733070373535
100,True,35,True,expectimax,10.679875612258911
